Cycle,Fluorescence,SampleID
1,0.0029963610414296994,Sample_C1
2,0.006805354229802856,Sample_C1
3,0.01968491789282097,Sample_C1
4,0.06301206021649472,Sample_C1
5,0.2032337042574344,Sample_C1
6,0.6518097493193181,Sample_C1
7,2.0711232427057538,Sample_C1
8,6.365441988434074,Sample_C1
9,18.513006011637263,Sample_C1
10,49.29768010080031,Sample_C1
11,115.51570591209779,Sample_C1
12,230.00100245118082,Sample_C1
13,383.52363166078794,Sample_C1
14,543.3810844206681,Sample_C1
15,677.507033383049,Sample_C1
16,773.327521631101,Sample_C1
17,834.8068790299325,Sample_C1
18,871.7133607660669,Sample_C1
19,893.0178707092645,Sample_C1
20,905.0447646733132,Sample_C1
21,911.7467544788545,Sample_C1
22,915.4572329401934,Sample_C1
23,917.5032263236859,Sample_C1
24,918.6296660726043,Sample_C1
25,919.2477916248819,Sample_C1
26,919.5881676868278,Sample_C1
27,919.7752677461567,Sample_C1
28,919.8764275032564,Sample_C1
29,919.9326184587325,Sample_C1
30,919.9634693325889,Sample_C1
31,919.9804426428655,Sample_C1
32,919.9904738556157,Sample_C1
33,919.9957902455229,Sample_C1
34,919.9979965504153,Sample_C1
35,919.9996515331518,Sample_C1
36,920.0002177061581,Sample_C1
37,920.0011869485278,Sample_C1
38,920.0007905271775,Sample_C1
39,920.0017546449873,Sample_C1
40,920.0013299412342,Sample_C1
1,0.0010040080980887479,Sample_C2
2,0.0034110489220217357,Sample_C2
3,0.0021365850019660583,Sample_C2
4,0.0018658862878374216,Sample_C2
5,0.001220557924558742,Sample_C2
6,0.0010168076391943654,Sample_C2
7,0.0010589423964389077,Sample_C2
8,0.0019465650136166455,Sample_C2
9,0.0010273292565123181,Sample_C2
10,0.002425172533998299,Sample_C2
11,0.0010410347233607738,Sample_C2
12,0.0011437296234595828,Sample_C2
13,0.0012577220228218524,Sample_C2
14,0.001108232651163726,Sample_C2
15,0.0014393620745030064,Sample_C2
16,0.0019328449818193662,Sample_C2
17,0.0011608201529687305,Sample_C2
18,0.0014325485083185373,Sample_C2
19,0.0012113592156216915,Sample_C2
20,0.0015044162617596007,Sample_C2
21,0.0011571570127541005,Sample_C2
22,0.0010311808447802863,Sample_C2
23,0.0016646600353348992,Sample_C2
24,0.001268522231293255,Sample_C2
25,0.0010949713422955091,Sample_C2
26,0.0010014062131743374,Sample_C2
27,0.002586720496263854,Sample_C2
28,0.00112089865397368,Sample_C2
29,0.0010675728556521007,Sample_C2
30,0.0019220280698794745,Sample_C2
31,0.0017384795355315208,Sample_C2
32,0.0011132075248935225,Sample_C2
33,0.0015820643728473001,Sample_C2
34,0.0014021285994768693,Sample_C2
35,0.0011342908641656854,Sample_C2
36,0.0015307132550523698,Sample_C2
37,0.002542789195801607,Sample_C2
38,0.005898517010378344,Sample_C2
39,0.017185304851754145,Sample_C2
40,0.05441884400274711,Sample_C2
1,0.002217887266333663,Sample_C3
2,0.0011576725093677025,Sample_C3
3,0.0016451808929575853,Sample_C3
4,0.0014756284166161935,Sample_C3
5,0.001353421763587298,Sample_C3
6,0.001000903547296826,Sample_C3
7,0.0014035550051074023,Sample_C3
8,0.0014418100401733718,Sample_C3
9,0.0016757225702092248,Sample_C3
10,0.001093308597202486,Sample_C3
11,0.0014094016313382148,Sample_C3
12,0.0010053726108134964,Sample_C3
13,0.0012621665993146037,Sample_C3
14,0.0012248825988625525,Sample_C3
15,0.0010001000966372447,Sample_C3
16,0.0015517036967878381,Sample_C3
17,0.0017827079026840372,Sample_C3
18,0.0019201412536733653,Sample_C3
19,0.001027994744764699,Sample_C3
20,0.0021748974451524356,Sample_C3
21,0.003089523202866648,Sample_C3
22,0.0010009144098966053,Sample_C3
23,0.001434104534903497,Sample_C3
24,0.0029209333528140103,Sample_C3
25,0.0014387646141993133,Sample_C3
26,0.001068605217054189,Sample_C3
27,0.0011296107674149077,Sample_C3
28,0.0010616651199378234,Sample_C3
29,0.0012922161473226514,Sample_C3
30,0.002287279381626293,Sample_C3
31,0.004307831939607039,Sample_C3
32,0.0059434015189909675,Sample_C3
33,0.017250516255962165,Sample_C3
34,0.05430296637817336,Sample_C3
35,0.17593393591106454,Sample_C3
36,0.5671812849761929,Sample_C3
37,1.8031141358498448,Sample_C3
38,5.535457292439391,Sample_C3
39,16.09920854688585,Sample_C3
40,42.865797238859415,Sample_C3
1,0.001751273608280642,Sample_C4
2,0.0011573788624138833,Sample_C4
3,0.0014280814762413533,Sample_C4
4,0.0025678399524776832,Sample_C4
5,0.003286858122696287,Sample_C4
6,0.0013296428322564205,Sample_C4
7,0.0010426976668984063,Sample_C4
8,0.0017381667724244618,Sample_C4
9,0.0010124803904037296,Sample_C4
10,0.0010009192545615594,Sample_C4
11,0.0016682729888524202,Sample_C4
12,0.0010638520461143974,Sample_C4
13,0.0010540681509132513,Sample_C4
14,0.0020824202691473418,Sample_C4
15,0.0012473689734090107,Sample_C4
16,0.001063148821657601,Sample_C4
17,0.0014159466425797368,Sample_C4
18,0.0015074728372689063,Sample_C4
19,0.002089371581202828,Sample_C4
20,0.0014640136596709053,Sample_C4
21,0.0026184327471825957,Sample_C4
22,0.006380564030569003,Sample_C4
23,0.017180053201585308,Sample_C4
24,0.05518822930824768,Sample_C4
25,0.17612175779364617,Sample_C4
26,0.5671637584956347,Sample_C4
27,1.8004621875981985,Sample_C4
28,5.535167290928461,Sample_C4
29,16.09838327552245,Sample_C4
30,42.86563709513307,Sample_C4
31,100.44856325161332,Sample_C4
32,200.00139561118556,Sample_C4
33,333.49865331163755,Sample_C4
34,472.50553450824464,Sample_C4
35,589.1369274539612,Sample_C4
36,672.4588654604823,Sample_C4
37,725.9217039982467,Sample_C4
38,758.0117892320002,Sample_C4
39,776.5371853521965,Sample_C4
40,786.9955102440001,Sample_C4
1,0.0016916841012753023,Sample_C5
2,0.001177767462474236,Sample_C5
3,0.002064795940875934,Sample_C5
4,0.0010193382115880967,Sample_C5
5,0.0010001938386805748,Sample_C5
6,0.0012042462812264368,Sample_C5
7,0.0012322731559110548,Sample_C5
8,0.0010354465417861814,Sample_C5
9,0.002071917900985568,Sample_C5
10,0.0012230400569581052,Sample_C5
11,0.0011277658571097384,Sample_C5
12,0.0016887395084028913,Sample_C5
13,0.0010878609956189373,Sample_C5
14,0.002699335708165809,Sample_C5
15,0.0010024261129053269,Sample_C5
16,0.0012860523315577307,Sample_C5
17,0.003710471740406418,Sample_C5
18,0.0010874039188986467,Sample_C5
19,0.0014273770369833748,Sample_C5
20,0.0011462886315353326,Sample_C5
21,0.0012788337535204895,Sample_C5
22,0.0015892111889473637,Sample_C5
23,0.0013459765339308807,Sample_C5
24,0.0031408459791641965,Sample_C5
25,0.0018173725812066482,Sample_C5
26,0.005003008837339715,Sample_C5
27,0.01040986242464022,Sample_C5
28,0.030782771405512183,Sample_C5
29,0.09783264849154584,Sample_C5
30,0.31610141043065976,Sample_C5
31,1.0133936820653784,Sample_C5
32,3.1739039138505394,Sample_C5
33,9.522850516526239,Sample_C5
34,26.627142287541176,Sample_C5
35,66.84293832302734,Sample_C5
36,144.8805365385078,Sample_C5
37,263.98848984169143,Sample_C5
38,404.3605670572508,Sample_C5
39,534.7439431526801,Sample_C5
40,634.9679718558915,Sample_C5
